,fpr,tpr,auc
0,[0.         0.         0.14285714 0.14285714 0.42857143 1.        ],[0.         0.36363636 0.45454545 0.54545455 0.72727273 1.        ],0.7337662337662337
1,"[0.         0.14285714 0.42857143 0.42857143 0.71428571 0.85714286
 1.        ]","[0.         0.18181818 0.45454545 0.54545455 0.63636364 1.
 1.        ]",0.5324675324675324
2,[0.         0.42857143 0.42857143 0.71428571 0.85714286 1.        ],[0.         0.45454545 0.81818182 0.81818182 1.         1.        ],0.6038961038961039
3,"[0.         0.28571429 0.42857143 0.42857143 0.42857143 0.71428571
 0.71428571 1.        ]","[0.         0.09090909 0.27272727 0.63636364 0.72727273 0.72727273
 0.81818182 1.        ]",0.5064935064935066
4,"[0.         0.         0.14285714 0.28571429 0.85714286 0.85714286
 1.        ]",[0.  0.2 0.8 0.9 0.9 1.  1. ],0.85
