,fpr,tpr,auc
0,"[0.         0.         0.         0.28571429 0.28571429 0.71428571
 0.71428571 1.         1.        ]","[0.         0.09090909 0.45454545 0.45454545 0.72727273 0.72727273
 0.90909091 0.90909091 1.        ]",0.7012987012987013
1,[0.         0.42857143 1.        ],[0.         0.45454545 1.        ],0.512987012987013
2,[0.         0.42857143 1.        ],[0.         0.72727273 1.        ],0.6493506493506493
3,[0.         0.42857143 1.        ],[0.         0.72727273 1.        ],0.6493506493506493
4,[0.         0.14285714 1.        ],[0. 1. 1.],0.9285714285714286
