,fpr,tpr,auc
0,"[0.         0.14285714 0.14285714 0.14285714 0.57142857 0.85714286
 1.        ]","[0.         0.36363636 0.63636364 0.72727273 0.72727273 0.90909091
 1.        ]",0.7077922077922079
1,"[0.         0.28571429 0.28571429 0.42857143 0.42857143 0.57142857
 0.71428571 1.        ]","[0.         0.36363636 0.72727273 0.72727273 0.90909091 1.
 1.         1.        ]",0.7207792207792207
2,[0.         0.28571429 0.42857143 0.42857143 0.71428571 1.        ],[0.         0.45454545 0.72727273 1.         1.         1.        ],0.7207792207792207
3,"[0.         0.14285714 0.28571429 0.28571429 0.57142857 0.57142857
 1.        ]","[0.         0.18181818 0.36363636 0.63636364 0.90909091 1.
 1.        ]",0.7012987012987013
4,[0.         0.42857143 0.57142857 0.57142857 0.57142857 1.        ],[0.  0.5 0.7 0.9 1.  1. ],0.6214285714285714
