,Mean,std
Accuracy,0.7300653594771243,0.07448113196763766
wGM,0.6175624257244274,0.10404058122268049
F1,0.7019916464872418,0.0795891921747374
F2,0.7118680328856252,0.07654206355625101
Precision,0.7770343137254901,0.08854976858235507
Recall,0.7300653594771243,0.07448113196763766
AUC,0.7093506493506494,0.07516507947090256
balanced_Accuracy,0.6779220779220779,0.07959248543399773
Overall_score,0.70698248313122,0.07652940139885261
